Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  6.67      0.01     0.01  2959132     0.00     0.00  std::_Rb_tree_const_iterator<short>::operator!=(std::_Rb_tree_const_iterator<short> const&) const
  6.67      0.02     0.01   268858     0.00     0.00  __gnu_cxx::__normal_iterator<CardCombo::CardPack*, std::vector<CardCombo::CardPack, std::allocator<CardCombo::CardPack> > >::base() const
  6.67      0.03     0.01   236449     0.00     0.00  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_clone_node<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Reuse_or_alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Reuse_or_alloc_node&)
  6.67      0.04     0.01   150972     0.00     0.00  __gnu_cxx::__normal_iterator<short const*, std::vector<short, std::allocator<short> > >::__normal_iterator(short const* const&)
  6.67      0.05     0.01    73196     0.00     0.00  std::vector<short, std::allocator<short> >::_M_move_assign(std::vector<short, std::allocator<short> >&&, std::integral_constant<bool, true>)
  6.67      0.06     0.01    44473     0.00     0.00  std::_Rb_tree_node_base::_S_minimum(std::_Rb_tree_node_base*)
  6.67      0.07     0.01    44468     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_minimum(std::_Rb_tree_node_base*)
  6.67      0.08     0.01    37457     0.00     0.00  CardCombo::CardPack* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<CardCombo::CardPack>(CardCombo::CardPack const*, CardCombo::CardPack const*, CardCombo::CardPack*)
  6.67      0.09     0.01    37052     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_Vector_impl::_Vector_impl()
  6.67      0.10     0.01    32611     0.00     0.00  bool std::__lexicographical_compare_impl<std::set<short, std::less<short>, std::allocator<short> > const*, std::set<short, std::less<short>, std::allocator<short> > const*, __gnu_cxx::__ops::_Iter_less_iter>(std::set<short, std::less<short>, std::allocator<short> > const*, std::set<short, std::less<short>, std::allocator<short> > const*, std::set<short, std::less<short>, std::allocator<short> > const*, std::set<short, std::less<short>, std::allocator<short> > const*, __gnu_cxx::__ops::_Iter_less_iter)
